Make,Model,Manufacturer,Type,Action,Class,Calibre,Shots,Barrel,Reg_date,Client,Pcode,Prov,Country,Lost,Stolen,Recovered,lossstolen_year
Stevens,940,,Non-restricted,Hinge Break,Shotgun,12 Guage,1,> 470mm,02-12-26,Individual,P0,ON,Canada,,,"
",
Savage,inconnue,,Non-restricted,Lever Action,Rifle,.308win,Multi-shots,> 470mm,02-12-26,Individual,J9,QC,Canada,,,"
",
Winchester,1300 XTR,,Non-restricted,Pump Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,J0,QC,Canada,,,"
",
Winchester,Ranger,,Non-restricted,Bolt Action,Rifle,270 Winchester,Multi-shots,> 470mm,03-05-15,Individual,V2,BC,Canada,,28-Apr-03,"
",
Browning,magnum,,Non-restricted,Semi-Automatic,Shotgun,12 ga.,Multi-shots,> 470mm,02-12-26,Individual,K6,ON,Canada,,,"
",
Winchester,101,,Non-restricted,Hinge Break,Shotgun,12 Gauge,Multi-shots,> 470mm,02-12-26,Individual,V0,BC,Canada,,,"
",
BRUNO (Cz),CZ527,,Non-restricted,Bolt Action,Rifle,222,Multi-shots,> 470mm,02-12-26,Individual,N0,ON,Canada,,,"
",
Remington,870,,Non-restricted,Pump Action,Shotgun,16,Multi-shots,> 470mm,02-12-26,Individual,N0,ON,Canada,,,"
",
Pietta,Remington 1858 New Model Army Reproduction,Pietta,Restricted,Revolver,Handgun,44 PERCUSSION                 ,6,203,99-08-20,Individual,N0,ON,Canada,,,"
",
Browning,A-Bolt,Miroku Firearms Manufacturing,Non-restricted,Bolt Action,Rifle,30-06 SPRG,4,559,05-12-29,Individual,J0,QC,Canada,,,"
",
Ithaca,37 Featherlight,Ithaca,Non-restricted,Pump Action,Shotgun,"12 GA X 2 3/4""",4,762,06-05-04,Individual,V2,BC,Canada,,,"
",
Richards,Side By Side,,Non-restricted,Multi Barrel,Shotgun,12 GA,2,762,05-11-03,Individual,L6,ON,Canada,,,"
",
Browning,light 12,,Non-restricted,Other,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,L9,ON,Canada,,,"
",
Remington                                                         ,700 BDL Custom Deluxe                                             ,,Non-restricted,Bolt Action,Rifle,30-06 SPRG                    ,4,560,99-06-12,Business,E3,NB,Canada,,,"
",
Colt,1908 Pocket Hammerless,Colt,Restricted,Semi-Automatic,Handgun,380 AUTO,7,110,05-07-28,Individual,T4,AB,Canada,,,"
",
Winchester,model-12,,Non-restricted,Pump Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,T7,AB,Canada,,,"
",
SMITH & WESSON,37,,Prohibited,Revolver,Handgun,38 SPL,,51,02-12-26,Individual,J8,QC,Canada,,,"
",
