Make,Model,Manufacturer,Type,Action,Class,Calibre,Shots,Barrel,Reg_date,Client,Pcode,Prov,Country,Lost,Stolen,Recovered,lossstolen_year
New England Firearms,SB2 Handi-Rifle                                               ,New England Firearms (NEF)            ,Non-restricted,Single Shot,Rifle,30-06 SPRG                    ,1,559,00-05-19,Individual,S0,SK,Canada,,,"
",
New England Firearms,SB2 Handi-Rifle                                               ,New England Firearms (NEF)            ,Non-restricted,Single Shot,Rifle,308 WIN                       ,1,559,02-11-14,Individual,V3,BC,Canada,,,"
",
New England Firearms,SB2 Handi-Gun,New England Firearms (NEF)            ,Non-restricted,Single Shot,Rifle,223 REM                       ,1,559,99-12-31,Individual,T0,AB,Canada,,,"
",
Ruger,MARK II Target,Sturm Ruger,Restricted,Semi-Automatic,Handgun,22 LR                         ,10,140,99-06-21,Individual,H1,QC,Canada,,,"
",
Cooey                                                             ,39,Cooey                              ,Non-restricted,Single Shot,Rifle,22 LR                         ,1,559,99-06-03,Individual,J4,QC,Canada,,,"
",
Browning,BLR Lightning,Miroku Firearms Manufacturing,Non-restricted,Lever Action,Rifle,30-06 SPRG                    ,4,559,00-07-28,Individual,A0,NF,Canada,,,"
",
Remington,870 Express,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,660,05-11-24,Individual,M6,ON,Canada,,,"
",
Remington,870 Express,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,660,05-10-27,Individual,L0,ON,Canada,,,"
",
Remington,870 Express,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,660,05-11-10,Individual,L1,ON,Canada,,,"
",
New England Firearms,SB1 Pardner,H&R 1871,Non-restricted,Single Shot,Shotgun,"410 GA X 3""",1,559,05-12-29,Individual,L1,ON,Canada,,,"
",
High Standard,Supermatic Citation,,Restricted,Semi-Automatic,Handgun,22 LR,10,203,03-09-11,Individual,N0,ON,Canada,,,"
",
Cooey,,,Non-restricted,Bolt Action,Rifle,.22 RF,Multi-shots,> 470mm,03-03-13,Individual,S4,SK,Canada,,,"
",
Marlin,,,Non-restricted,Lever Action,Rifle,44W,Multi-shots,> 470mm,02-12-26,Individual,L2,ON,Canada,,,"
",
Lakefield,64B,,Non-restricted,Semi-Automatic,Rifle,22,Multi-shots,> 470mm,02-12-26,Individual,R0,MB,Canada,,,"
",
Marlin,782,,Non-restricted,Bolt Action,Rifle,22,Multi-shots,> 470mm,06-06-14,Individual,X0,NT,Canada,,,"
",
Thompson/Center,Thunder Hawk Rifle,Thompson/Center Arms,Non-restricted,Single Shot,Rifle,54 PERCUSSION                 ,1,559,99-08-27,Business,T2,AB,Canada,,,"
",
Browning,A-Bolt II Hunter,Miroku Firearms Manufacturing,Non-restricted,Bolt Action,Rifle,30-06 SPRG                    ,4,559,99-08-30,Individual,E8,NB,Canada,,,"
",
Browning,A-Bolt Hunter,Miroku Firearms Manufacturing,Non-restricted,Bolt Action,Rifle,308 WIN                       ,4,559,99-12-21,Individual,E3,NB,Canada,,,"
",
Winchester,NWT centenial model,,Non-restricted,Lever Action,Rifle,30-30,Multi-shots,> 470mm,02-12-26,Individual,R0,MB,Canada,,,"
",
Winchester,1901,Winchester,Non-restricted,Lever Action,Shotgun,"10 GA X 2 7/8""",5,813,02-12-19,Business,T5,AB,Canada,,,"
",
Herbert Schmidt,21,Herbert Schmidt,Restricted,Revolver,Handgun,22 LR,6,140,03-01-09,Individual,V1,BC,Canada,,,"
",
Marlin,30 AS,Marlin Firearms,Non-restricted,Lever Action,Rifle,30-30 WIN,6,508,05-09-29,Individual,P6,ON,Canada,,,"
",
Marlin Firearms Co,Model 56,,Non-restricted,Lever Action,Rifle,22,Multi-shots,> 470mm,02-12-26,Individual,P6,ON,Canada,,,"
",
Remington,Model 812,,Non-restricted,Hinge Break,Shotgun,12 Gauge,1,> 470mm,02-12-26,Individual,T2,AB,Canada,,,"
",
Fabrique Nationale D'Armes,SAFN,,Non-restricted,Semi-Automatic,Rifle,8 mm,Multi-shots,> 470mm,02-12-26,Individual,N6,ON,Canada,,,"
",
Savage,Model 3A,,Non-restricted,Bolt Action,Rifle,22 Cal,1,> 470mm,02-12-26,Individual,L5,ON,Canada,,,"
",
Remington,Wingmaster 870,,Non-restricted,Pump Action,Shotgun,12 Gauge 3inch mag,Multi-shots,> 470mm,02-12-26,Individual,S7,SK,Canada,,,"
",
Knight,Disc,Knight Rifles,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,610,06-04-13,Individual,S0,SK,Canada,,,"
",
Knight,LK-93 Wolverine,Knight Rifles,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,559,01-09-22,Business,S7,SK,Canada,,,"
",
New England Firearms,SB2 Handi-Rifle                                               ,New England Firearms (NEF)            ,Non-restricted,Single Shot,Rifle,7MM MAUSER                    ,1,610,01-12-04,Individual,B2,NS,Canada,,,"
",
Marlin,30 AS                                                             ,Marlin Firearms,Non-restricted,Lever Action,Rifle,30-30 WIN                     ,6,508,00-10-24,Individual,A0,NF,Canada,,,"
",
Remington,870 Express,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,660,05-11-10,Individual,K0,ON,Canada,,,"
",
Mossberg,935 Magnum,Mossberg,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3 1/2""",3,711,05-12-29,Individual,L1,ON,Canada,,,"
",
Cooey,600,Winchester,Non-restricted,Bolt Action,Rifle,22 LR,10,559,06-03-02,Individual,N0,ON,Canada,,,"
",
New England Firearms,SB2 Handi-Rifle                                               ,New England Firearms (NEF)            ,Non-restricted,Single Shot,Rifle,308 WIN                       ,1,559,00-07-18,Business,T2,AB,Canada,,,"
",
Marlin,15YN,Marlin Firearms,Non-restricted,Single Shot,Rifle,22 LR                         ,1,412,00-12-20,Individual,T4,AB,Canada,,,"
",
Cooey                                                             ,600,Winchester                                                        ,Non-restricted,Bolt Action,Rifle,22 LR                         ,10,559,99-08-03,Individual,R0,MB,Canada,,,"
",
Thompson/Center,Fire Hawk,Thompson/Center Arms,Non-restricted,Single Shot,Rifle,54 PERCUSSION                 ,1,610,00-03-15,Individual,V0,BC,Canada,,,"
",
Diana,34,Diana,Non-restricted,"Air, spring or gas",Rifle,177 PELLET                    ,1,495,00-12-21,Individual,V9,BC,Canada,,,"
",
Benjamin Sheridan,CB9,Benjamin Sheridan,Non-restricted,"Air, spring or gas",Rifle,5MM                           ,1,495,01-08-01,Individual,T0,AB,Canada,,,"
",
Benjamin Sheridan,CB9,Benjamin Sheridan,Non-restricted,"Air, spring or gas",Rifle,5MM                           ,1,495,01-06-21,Individual,V1,BC,Canada,,,"
",
Diana,48,Diana,Non-restricted,"Air, spring or gas",Rifle,177 PELLET                    ,1,440,99-06-20,Business,L0,ON,Canada,,,"
",
Browning,A-Bolt Hunter,Miroku Firearms Manufacturing,Non-restricted,Bolt Action,Rifle,22-250 REM                    ,4,559,04-03-25,Individual,E8,NB,Canada,,,"
",
Knight,LK-93 Wolverine,Knight Rifles,Non-restricted,Single Shot,Rifle,54 PERCUSSION                 ,1,559,06-05-11,Individual,T3,AB,Canada,,,"
",
Knight,MARK 85,Knight Rifles,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,610,01-03-06,Individual,S7,SK,Canada,,,"
",
Knight,MARK 85,Knight Rifles,Non-restricted,Single Shot,Rifle,54 PERCUSSION                 ,1,508,99-10-30,Individual,S0,SK,Canada,,,"
",
Knight,LK-93 Wolverine,Knight Rifles,Non-restricted,Single Shot,Rifle,54 PERCUSSION                 ,1,559,04-06-03,Individual,T2,AB,Canada,,,"
",
CIL,830,,Non-restricted,Bolt Action,Rifle,30,Multi-shots,> 470mm,02-12-26,Individual,T0,AB,Canada,,,"
",
Weatherby,MARK V,Howa Machinery,Non-restricted,Bolt Action,Rifle,340 WBY MAG,3,660,03-05-22,Individual,T0,AB,Canada,,,"
",
topper,model 48,,Non-restricted,Hinge Break,Shotgun,12 gauge,1,> 470mm,02-12-26,Individual,E4,NB,Canada,,,"
",
Winchester,94,Winchester,Non-restricted,Lever Action,Rifle,30-30 WIN,8,660,04-04-29,Individual,S4,SK,Canada,,,"
",
Marlin,,,Non-restricted,Lever Action,Rifle,38/55,Multi-shots,> 470mm,02-12-26,Individual,V9,BC,Canada,,,"
",
Browning,81BLR,,Non-restricted,Lever Action,Rifle,308,1,> 470mm,02-12-26,Individual,J8,QC,Canada,,,"
",
B.S.A. Co  1865,,,Non-restricted,Hinge Break,Rifle,known,1,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Victorian,,,Non-restricted,Hinge Break,Shotgun,12 Gauge 3 inch,Multi-shots,> 470mm,02-12-26,Individual,S7,SK,Canada,,,"
",
Remington,742,,Non-restricted,Semi-Automatic,Rifle,30-Jun,Multi-shots,> 470mm,02-12-26,Individual,L0,ON,Canada,,,"
",
Unknown Military,Unknown,,Non-restricted,Bolt Action,Rifle,Unknown,Multi-shots,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Maverick,88,Mossberg                                             ,Non-restricted,Pump Action,Shotgun,"12 GA X 3""                    ",5,711,99-10-02,Individual,A0,NF,Canada,,,"
",
Mossberg,500C                                                              ,Mossberg                                             ,Non-restricted,Pump Action,Shotgun,"20 GA X 3""                    ",5,660,02-11-29,Individual,E4,NB,Canada,,,"
",
Lakefield,64B                                                               ,Lakefield Arms                                                   ,Non-restricted,Semi-Automatic,Rifle,22 LR                         ,10,508,99-04-16,Business,E3,NB,Canada,,,"
",
Remington,870 Express,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,660,05-11-10,Individual,N5,ON,Canada,,,"
",
Traditions,Lightning Bolt Action,Ardesa,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,610,01-06-12,Individual,J0,QC,Canada,,,"
",
Thompson/Center,Fire Hawk,Thompson/Center Arms,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,610,03-12-18,Individual,J0,QC,Canada,,,"
",
Benjamin Sheridan,CB9,Benjamin Sheridan,Non-restricted,"Air, spring or gas",Rifle,5MM                           ,1,495,01-06-12,Individual,V0,BC,Canada,,,"
",
Savage,93R17SS,Savage,Non-restricted,Bolt Action,Rifle,17 HMR,5,533,05-12-22,Individual,R3,MB,Canada,,,"
",
Winchester,1907,Winchester,Non-restricted,Semi-Automatic,Rifle,351 WSL,5,508,06-10-19,Individual,P0,ON,Canada,,,"
",
Savage,1899,Savage,Non-restricted,Lever Action,Rifle,30-30 WIN,5,660,05-02-17,Individual,T8,AB,Canada,,,"
",
Browning,Bar 11 safari,,Non-restricted,Semi-Automatic,Rifle,300,1,> 470mm,02-12-26,Individual,T0,AB,Canada,,,"
",
Remington,4,,Non-restricted,Hinge Break,Rifle,25-Oct,1,> 470mm,02-12-26,Individual,P7,ON,Canada,,,"
",
Husqvarna,,,Non-restricted,Bolt Action,Rifle,30-Jun,Multi-shots,> 470mm,02-12-26,Individual,P7,ON,Canada,,,"
",
RUGER,GP100,,Restricted,Revolver,Handgun,357 MAG,,154,03-01-02,Individual,B0,NS,Canada,,,"
",
Remington,870 Express Super Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3 1/2""",3,660,06-01-05,Individual,L4,ON,Canada,,,"
",
Remington,870 Express Super Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3 1/2""",3,660,06-09-14,Individual,L7,ON,Canada,,,"
",
Remington,870 Express,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,660,05-10-27,Individual,L6,ON,Canada,,,"
",
Remington,870 Express,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,660,05-10-27,Individual,L5,ON,Canada,,,"
",
Remington,870 Express Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,508,06-07-27,Individual,N4,ON,Canada,,,"
",
Remington,870 Express,Remington,Non-restricted,Pump Action,Shotgun,12 GA,4,711,05-11-03,Individual,N0,ON,Canada,,,"
",
riverside arms co.,,,Non-restricted,Hinge Break,Shotgun,12 gauge,1,> 470mm,02-12-26,Individual,V6,BC,Canada,,,"
",
Ithaca,Model 37,,Non-restricted,Pump Action,Shotgun,12 gauge,Multi-shots,> 470mm,02-12-26,Individual,T2,AB,Canada,,,"
",
Survival Arms,AR-7 Explorer,,Non-restricted,Semi-Automatic,Rifle,0.22,Multi-shots,<= 470mm,02-12-26,Individual,N6,ON,Canada,,,"
",
Remington,722,,Non-restricted,Bolt Action,Rifle,222,Multi-shots,> 470mm,02-12-26,Individual,V9,BC,Canada,,,"
",
Browning,Citori,,Non-restricted,Hinge Break,Shotgun,20 Gauge,Multi-shots,> 470mm,02-12-26,Individual,K0,ON,Canada,,,"
",
Knight,LK-93 Wolverine,Knight Rifles,Non-restricted,Single Shot,Rifle,54 PERCUSSION                 ,1,559,00-07-06,Individual,T8,AB,Canada,,,"
",
Knight,LK-93 Wolverine,Knight Rifles,Non-restricted,Single Shot,Rifle,54 PERCUSSION                 ,1,559,04-11-25,Individual,T2,AB,Canada,,,"
",
Sten,MARK II,,Prohibited,Converted Auto,Submachine Gun,9MM,0,198,03-06-12,Individual,N0,ON,Canada,,,"
",
Remington,740,,Non-restricted,Semi-Automatic,Rifle,244 Calibre,Multi-shots,> 470mm,03-05-15,Individual,N2,ON,Canada,,,"
",
Cooey,84,,Non-restricted,Hinge Break,Shotgun,12 Gauge,1,> 470mm,02-12-26,Individual,N2,ON,Canada,,,"
",
Winchester,1894,,Non-restricted,Lever Action,Rifle,.30WCF Calibre,Multi-shots,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Winchester,101,,Non-restricted,Hinge Break,Shotgun,12,1,> 470mm,02-12-26,Individual,P7,ON,Canada,,,"
",
New England Firearms,SB2 Handi-Gun,New England Firearms (NEF)            ,Non-restricted,Single Shot,Rifle,223 REM                       ,1,559,00-02-29,Individual,T2,AB,Canada,,,"
",
ManuFrance,BUFFALO STAND,St. Etienne,Non-restricted,Bolt Action,Rifle,6MM,1,673,01-11-01,Individual,G0,QC,Canada,,,"
",
Browning,A-Bolt II,Miroku Firearms Manufacturing,Non-restricted,Bolt Action,Rifle,270 WIN                       ,4,559,01-12-04,Individual,S7,SK,Canada,,,"
",
Ithaca,37,,Non-restricted,Pump Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,N0,ON,Canada,,,"
",
surrex,,,Non-restricted,Bolt Action,Rifle,303,Multi-shots,> 470mm,02-12-26,Individual,N0,ON,Canada,,,"
",
Winchester,1200 12GA   3CHAM,,Non-restricted,Pump Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Winchester,,,Non-restricted,Hinge Break,Shotgun,410,1,> 470mm,02-12-26,Individual,S3,SK,Canada,,,"
",
Mossberg,195KA,,Non-restricted,Bolt Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,N0,ON,Canada,,,"
",
Cooey,,,Non-restricted,Hinge Break,Shotgun,16,1,> 470mm,02-12-26,Individual,E3,NB,Canada,,,"
",
Mossberg,183 KD,,Non-restricted,Bolt Action,Shotgun,410,Multi-shots,> 470mm,02-12-26,Individual,J0,QC,Canada,,,"
",
Winchester,model63,,Non-restricted,Semi-Automatic,Rifle,22 caliber,Multi-shots,> 470mm,02-12-26,Individual,V2,BC,Canada,,,"
",
Winchester,#94,,Non-restricted,Lever Action,Rifle,0.303,Multi-shots,> 470mm,02-12-26,Individual,K0,ON,Canada,,,"29-AUG-03
",
Elgoibar,El Faisan,Elgoibar,Non-restricted,Multi Barrel,Shotgun,"410 GA X 3""                   ",2,699,05-03-17,Individual,J9,QC,Canada,,,"
",
Winchester                                                        ,1300 Defender,Fabrique Nationale Herstal (FN),Non-restricted,Pump Action,Shotgun,"12 GA X 3""                    ",8,457,01-12-04,Individual,L3,ON,Canada,,,"
",
Ruger,New Model Blackhawk,,Restricted,Revolver,Handgun,45,6,140,99-11-03,Individual,V2,BC,Canada,,,"
",
Winchester                                                        ,94,,Non-restricted,Lever Action,Rifle,30-30 WIN                     ,6,508,99-08-03,Individual,G0,QC,Canada,,,"
",
Mossberg,185K                                                              ,Mossberg                                             ,Non-restricted,Bolt Action,Shotgun,"20 GA X 3""                    ",2,735,99-08-03,Individual,B0,NS,Canada,,,"
",
Remington                                                         ,Nylon 66                                                          ,Remington,Non-restricted,Semi-Automatic,Rifle,22 LR                         ,14,560,99-08-03,Individual,B0,NS,Canada,,,"
",
Ithaca,XL 300,SKB,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""                    ",5,762,99-08-03,Individual,B0,NS,Canada,,,"
",
Tikka,M65,,Non-restricted,Bolt Action,Rifle,30.06,5,559,01-11-08,Individual,L9,ON,Canada,,,"
",
Savage,1899,Savage,Non-restricted,Lever Action,Rifle,303 SAVAGE                    ,5,508,04-12-09,Individual,J8,QC,Canada,,,"
",
CIL                                                            ,402,Companhia Brasileira de Cartuchos (CBC)  ,Non-restricted,Single Shot,Shotgun,"12 GA X 2 3/4""                ",1,762,01-06-15,Individual,V1,BC,Canada,,,"
",
Smith & Wesson,686,Smith & Wesson,Restricted,Revolver,Handgun,357 MAG                       ,6,152,01-11-15,Individual,C0,PE,Canada,,,"
",
Colt,1911A1 Government                                               ,Colt                                                              ,Restricted,Semi-Automatic,Handgun,45 AUTO                       ,7,127,01-10-18,Individual,C0,PE,Canada,,,"
",
Ruger,MARK II Target,Sturm Ruger,Restricted,Semi-Automatic,Handgun,22 LR                         ,10,190,06-08-03,Individual,C0,PE,Canada,,,"
",
Plainfield Machine Company,M1 Carbine,Plainfield Machine Company,Restricted,Semi-Automatic,Rifle,30 CARBINE                    ,5,457,04-09-01,Individual,B0,NS,Canada,,,"
",
Webley,MARK III,Webley,Prohibited,Revolver,Handgun,38 S&W,6,102,05-10-06,Individual,X1,NT,Canada,,,"
",
Ruger,Mark II Target,"Sturm, Ruger & Company",Restricted,Semi-Automatic,Handgun,22 LR,10,133,99-08-03,Individual,L0,ON,Canada,,,"
",
Savage,1907,Savage,Prohibited,Semi-Automatic,Handgun,7.65MM,10,95,06-05-04,Individual,H2,QC,Canada,,,"
",
Remington                                                         ,7600,Remington,Non-restricted,Pump Action,Rifle,308 WIN                       ,4,559,99-04-30,Business,E1,NB,Canada,,,"
",
Savage,64G                                                               ,Savage,Non-restricted,Semi-Automatic,Rifle,22 LR                         ,10,514,99-12-08,Individual,G0,QC,Canada,,,"
",
Remington,700,,Non-restricted,Bolt Action,Rifle,7MM Rem Mag,3,609,01-11-08,Individual,G4,QC,Canada,,,"
",
Uberti,1873 Cattleman Bisley,Uberti,Restricted,Revolver,Handgun,45 COLT                       ,6,190,04-02-12,Individual,N5,ON,Canada,,,"
",
Remington                                                         ,XP100                                                             ,Remington,Restricted,Single Shot,Handgun,223 REM                       ,1,369,00-04-15,Individual,N1,ON,Canada,,,"
",
Reck,R12                                                               ,Reck,Restricted,Revolver,Handgun,22 LR                         ,6,127,99-11-13,Individual,N5,ON,Canada,,,"
",
Remington,700,Remington,Non-restricted,Bolt Action,Rifle,270 WIN,4,559,04-12-09,Individual,G4,QC,Canada,,,"
",
Ruger,New Model Single Six,Sturm Ruger,Restricted,Revolver,Handgun,22,6,165,99-08-03,Individual,T0,AB,Canada,,,"
",
Marlin,336 CS,Marlin Firearms,Non-restricted,Lever Action,Rifle,30-30 WIN                     ,7,508,00-08-04,Individual,X0,NT,Canada,,,"
",
Ruger,M77 MARK II,Sturm Ruger,Non-restricted,Bolt Action,Rifle,220 SWIFT                     ,4,660,99-04-26,Business,Y1,YT,Canada,,,"
",
New England Firearms,SB1 Survivor,Harrington & Richardson,Non-restricted,Single Shot,Shotgun,"20 GA X 3""                    ",1,560,03-02-13,Individual,Y1,YT,Canada,,,"
",
Mossberg,500C,Mossberg,Non-restricted,Pump Action,Shotgun,"20 GA X 3""",5,660,02-10-10,Individual,Y0,YT,Canada,,,"
",
Remington                                                         ,7600,Remington,Non-restricted,Pump Action,Rifle,30-06 SPRG                    ,4,559,00-02-19,Individual,Y1,YT,Canada,,,"
",
Colt,Detective Special,Colt,Prohibited,Revolver,Handgun,38 SPL,6,54,99-12-01,Individual,T6,AB,Canada,,,"
",
Remington,788,,Non-restricted,Bolt Action,Rifle,7MM-08,3,470,01-11-01,Individual,G8,QC,Canada,,,"
",
CIL                                                            ,125,Anschutz,Non-restricted,Bolt Action,Rifle,22 LR                         ,5,559,99-11-13,Individual,J0,QC,Canada,,,"
",
Unknown Spanish,Side By Side,Unknown Spanish,Non-restricted,Multi Barrel,Shotgun,"12 GA X 2 3/4""",2,762,00-09-06,Individual,A0,NF,Canada,,,"
",
Stevens,311,Savage,Non-restricted,Multi Barrel,Shotgun,12 GA                         ,2,711,99-08-03,Individual,K0,ON,Canada,,,"
",
Ruger,10/22 Carbine,Sturm Ruger,Non-restricted,Semi-Automatic,Rifle,22 LR                         ,10,470,99-10-29,Individual,X0,NT,Canada,,,"
",
Beretta                                                           ,AL390 Silver Mallard,Beretta                              ,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""                    ",3,711,99-08-14,Individual,M6,ON,Canada,,,"
",
Marlin,336,Marlin Firearms,Non-restricted,Lever Action,Rifle,30-30 WIN                     ,6,508,99-12-23,Individual,V8,BC,Canada,,,"
",
Mossberg,500,Mossberg                                             ,Non-restricted,Pump Action,Shotgun,12 GA                         ,6,762,99-08-03,Individual,E3,NB,Canada,,,"
",
Beretta                                                           ,A303,Beretta                              ,Non-restricted,Semi-Automatic,Shotgun,12 GA                         ,3,660,99-08-03,Individual,K0,ON,Canada,,,"
",
Beretta                                                           ,950B                                                              ,Beretta                              ,Prohibited,Semi-Automatic,Handgun,22 SHORT                      ,6,76,03-06-12,Individual,G5,QC,Canada,,,"
",
Harrington & Richardson                                         ,88 Topper,Harrington & Richardson,Non-restricted,Single Shot,Shotgun,"410 GA X 3""                   ",1,550,99-08-30,Individual,T1,AB,Canada,,,"
",
Springfield Armory,P9 Ultra                                                   ,Springfield Armory,Restricted,Semi-Automatic,Handgun,9MM LUGER                     ,10,127,06-10-26,Individual,T6,AB,Canada,,,"
",
REMINGTON,700 BDL DM,REMINGTON,Non-restricted,Bolt Action,Rifle,270 WIN,4,560,01-11-08,Individual,H3,QC,Canada,,,"
",
Remington,700 BDL DM,Remington,Non-restricted,Bolt Action,Rifle,7MM REM MAG,3,610,00-01-13,Individual,G7,QC,Canada,,,"
",
Remington,700 BDL DM,Remington,Non-restricted,Bolt Action,Rifle,30-06 SPRG,4,560,03-09-25,Individual,G0,QC,Canada,,,"
",
Savage,64,Savage,Non-restricted,Semi-Automatic,Rifle,22 LR,10,514,01-12-06,Individual,V1,BC,Canada,,,"
",
Remington                                                         ,870 Express                                                       ,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""                    ",4,508,01-12-04,Individual,V2,BC,Canada,,,"
",
Remington                                                         ,870 Express                                                       ,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""                    ",4,457,99-10-02,Individual,X1,NT,Canada,,,"
",
Tikka,M695,SAKO,Non-restricted,Bolt Action,Rifle,30-06 SPRG                    ,3,570,99-08-23,Individual,V1,BC,Canada,,,"
",
Remington,600 Mohawk,Remington,Non-restricted,Bolt Action,Rifle,243 WIN,4,485,04-10-27,Individual,V0,BC,Canada,,,"
",
Baikal                                                            ,IJ-18,"Russian State Arsenal, Izhevsk",Non-restricted,Single Shot,Shotgun,"12 GA X 2 3/4""                ",1,725,00-06-01,Individual,V2,BC,Canada,,,"
",
BRNO                                                              ,4,Ceskoslovenska Zbrojovka,Non-restricted,Bolt Action,Rifle,22 LR                         ,5,699,04-05-20,Individual,V2,BC,Canada,,,"
",
Winchester,37,Winchester,Non-restricted,Single Shot,Shotgun,"12 GA X 2 3/4""                ",1,813,00-12-22,Individual,V1,BC,Canada,,,"
",
Browning,BAR Lightweight,Fabrique Nationale Herstal (FN),Non-restricted,Semi-Automatic,Rifle,30-06 SPRG                    ,4,508,00-09-06,Individual,G6,QC,Canada,,,"
",
Ruger,M77 MARK II,Sturm Ruger,Non-restricted,Bolt Action,Rifle,300 WIN MAG                   ,3,610,01-12-06,Individual,V4,BC,Canada,,,"
",
Remington,7400,Remington,Non-restricted,Semi-Automatic,Rifle,270 WIN,4,559,02-01-31,Individual,K0,ON,Canada,,,"
",
Remington                                                         ,Seven SS,Remington,Non-restricted,Bolt Action,Rifle,223 REM                       ,4,508,00-09-06,Individual,J0,QC,Canada,,,"
",
New England Firearms,SB1 Pardner                                         ,Harrington & Richardson (H&R),Non-restricted,Single Shot,Shotgun,"20 GA X 3""                    ",1,648,99-04-30,Business,J6,QC,Canada,,,"
",
IGA,Uplander Side by Side,E R Amantino & Cia,Non-restricted,Multi Barrel,Shotgun,"12 GA X 3""                    ",2,711,00-05-10,Individual,H2,QC,Canada,,,"
",
Thompson/Center,Contender                                                     ,Thompson/Center Arms,Restricted,Single Shot,Handgun,,,,04-06-17,Individual,N0,ON,Canada,,,"
",
Remington                                                         ,1100 LT-20 Magnum,Remington,Non-restricted,Semi-Automatic,Shotgun,"20 GA X 3""                    ",3,711,00-10-02,Individual,V0,BC,Canada,,,"
",
Thompson/Center,Thunder Hawk Carbine,Thompson/Center Arms,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,533,00-03-17,Individual,S0,SK,Canada,,,"
",
Savage,MARK II-G                                                         ,Savage,Non-restricted,Bolt Action,Rifle,22 LR                         ,10,526,00-08-23,Individual,H2,QC,Canada,,,"
",
Remington                                                         ,870 Wingmaster,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""                    ",4,711,99-10-21,Individual,L6,ON,Canada,,,"
",
Winchester                                                        ,94,Winchester                                                        ,Non-restricted,Lever Action,Rifle,30-30 WIN                     ,6,508,99-08-03,Individual,T9,AB,Canada,,,"
",
Weatherby                                                         ,MARK V                                                            ,Howa Machinery,Non-restricted,Bolt Action,Rifle,300 WBY MAG                   ,3,660,99-08-03,Individual,,QC,Canada,,,"
",
Remington                                                         ,700 BDL Custom Deluxe                                             ,Remington,Non-restricted,Bolt Action,Rifle,300 WIN MAG                   ,3,610,99-07-25,Business,N8,ON,Canada,,,"
",
Savage,64G,Savage,Non-restricted,Semi-Automatic,Rifle,22 LR,10,514,01-06-12,Individual,V4,BC,Canada,,,"
",
Savage,MARK II-G,Savage,Non-restricted,Bolt Action,Rifle,22 LR,10,526,01-05-25,Individual,V2,BC,Canada,,,"
",
Savage,MARK II-G,Savage,Non-restricted,Bolt Action,Rifle,22 LR,10,526,02-01-04,Individual,V2,BC,Canada,,,"
",
Mossberg,B,Mossberg,Non-restricted,Single Shot,Rifle,22 LR,1,660,05-09-08,Individual,P0,ON,Canada,,,"
",
Remington,742 Woodsmaster,,Non-restricted,Semi-Automatic,Rifle,30-06 SPRG                    ,4,610,99-08-03,Individual,X0,NT,Canada,,,"
",
CIL                                                            ,402,,Non-restricted,Single Shot,Shotgun,"410 GA X 3""                   ",1,711,99-08-03,Individual,G8,QC,Canada,,,"
",
IGA,Condor I Over/Under,E R Amantino & Cia,Non-restricted,Multi Barrel,Shotgun,"12 GA X 3""                    ",2,711,00-05-20,Individual,X0,NT,Canada,,,"
",
EMF                                                               ,Colt 1851 Navy Sheriff Reproduction              ,Armi San Marco,Restricted,Revolver,Handgun,44 PERCUSSION                 ,6,127,06-06-08,Individual,C0,PE,Canada,,,"
",
Winchester                                                        ,1300 Ranger,Fabrique Nationale Herstal (FN),Non-restricted,Pump Action,Shotgun,"20 GA X 3""",4,711,01-12-04,Individual,H1,QC,Canada,,,"
",
Remington                                                         ,7600,Remington,Non-restricted,Pump Action,Rifle,30-06 SPRG                    ,4,559,99-04-30,Business,E1,NB,Canada,,,"
",
